references,ss_code,course_subject,sessions,course_number,year_offered,evaluation,start_date,course_title,format,course_objective,textbooks,instructor,compulsory,course_outline,term,room,prerequisites,offered_this_year,notes,other_instructors,day_and_time,credit,open_to,sheetno,sheetname
none,cl6,Specialized Courses,"<tr><td><div>1</div></td><td><div>

Course introducti on.

</div></td></tr>

<tr><td><div>2</div></td><td><div>

Lesson

</div></td></tr>

<tr><td><div>3</div></td><td><div>

Lesson

</div></td></tr>

<tr><td><div>4</div></td><td><div>

Lesson

</div></td></tr>

<tr><td><div>5</div></td><td><div>

Lesson

</div></td></tr>

<tr><td><div>6</div></td><td><div>

Lesson

</div></td></tr>

<tr><td><div>7</div></td><td><div>

Lesson

</div></td></tr>

<tr><td><div>8</div></td><td><div>

Lesson

</div></td></tr>

<tr><td><div>9</div></td><td><div>

Midterm 

Examination. 

Lesson.

</div></td></tr>

<tr><td><div>10</div></td><td><div>

Lesson

</div></td></tr>

<tr><td><div>11</div></td><td><div>

Lesson

</div></td></tr>

<tr><td><div>12</div></td><td><div>

Lesson

</div></td></tr>

<tr><td><div>13</div></td><td><div>

Lesson

</div></td></tr>

<tr><td><div>14</div></td><td><div>

Students' presentati on.

</div></td></tr>

<tr><td><div>15</div></td><td><div>

Lesson

</div></td></tr>",2221,,"<p>Attendance and Class participation (10%)</p>
<p>Homework (10%)</p>
<p>Test, Report (40%)</p>
<p>Presentation (40%)</p>",,Japanese for Social Sciences II (E),,The purpose of this course is to make students being able to express their knowledge and ideas in Japanese language. Students will learn academic Japanese through the topics of this course.,"Japanese History, Politics and Society in Simple Japanese for Beginners.",Y Kondo,,"This class is conducted in Japanese in an interactive way. This class will provide the opportunity to read and discuss basic issues in contemporary Japanese society. Students will acquire the basic knowledge of Japanese Civics, and will be able to give an academic presentation in Japanese.",Spring,905,none,,,,Mon 8:45-10:15,2,2,0,Courses
『留学生のための日本事情入門』文理閣 他,cl8,Specialized Courses,"<tr><td><div>1</div></td><td><div>

Course introduction.

</div></td></tr>

<tr><td><div>2</div></td><td><div>

Lesson

</div></td></tr>

<tr><td><div>3</div></td><td><div>

Lesson

</div></td></tr>

<tr><td><div>4</div></td><td><div>

Lesson

</div></td></tr>

<tr><td><div>5</div></td><td><div>

Lesson

</div></td></tr>

<tr><td><div>6</div></td><td><div>

Lesson

</div></td></tr>

<tr><td><div>7</div></td><td><div>

Lesson.

</div></td></tr>

<tr><td><div>8</div></td><td><div>

Activity

</div></td></tr>

<tr><td><div>9</div></td><td><div>

Lesson

</div></td></tr>

<tr><td><div>10</div></td><td><div>

Lesson

</div></td></tr>

<tr><td><div>11</div></td><td><div>

Lesson

</div></td></tr>

<tr><td><div>12</div></td><td><div>

Lesson

</div></td></tr>

<tr><td><div>13</div></td><td><div>

Lesson

</div></td></tr>

<tr><td><div>14</div></td><td><div>

Lesson

</div></td></tr>

<tr><td><div>15</div></td><td><div>

activity

</div></td></tr>",2222,,"<p>Attendance and Class participation (30%)</p>
<p>Assignments (30%)</p>
<p>test and presentation. (40%)</p>
<p>It will be refferd as ""absent"" if student was absent more than five lectures a periond.</p>",,Japanese for Social Sciences III (E),,to understand Japanese society and to become able to express the opinion on the topics in Japanese.,none,Y Kondo,,This class is conducted in Japanese in interactive way. The purpose of this class is to understand Japanese society and to become able to express the opinion on the topics in Japanese. We will read articles and related materials. This class is targeted at the students whose Japanese proficiency level is intermediate.,Spring,905,none,,,,Tue 13:00-14:30,2,2,0,Courses
"<p>Ellen M. Sue, Comparing Asian Politics, Westview Press, 2010.</p>
<p>Yongnian Zheng, Yiyi Lu, Lynn T. White III eds., Politics of Modern China, Routledge, 2009.</p>
<p>Christopher Hood ed., Politics of Modern Japan, Routledge, 2008.</p>
<p>Additional reference will be announced during the class.</p>",cl9,Specialized Courses,"<tr><td><div>1</div></td><td><div>

Introduction

</div></td></tr>

<tr><td><div>2</div></td><td><div>

Comparative Politics1: Political Institution

</div></td></tr>

<tr><td><div>3</div></td><td><div>

Comparative Politics 2: Development and Democratization

</div></td></tr>

<tr><td><div>4</div></td><td><div>

Comparative Politics 3:

Participation and Governance

</div></td></tr>

<tr><td><div>5</div></td><td><div>

Conflicts on Identity and History: Legacy of Imperialism

</div></td></tr>

<tr><td><div>6</div></td><td><div>

Stability and Instability in Regional Security: Legacy of Cold War

</div></td></tr>

<tr><td><div>7</div></td><td><div>

Forward Regionalism?: Globalization and Global Crisis

</div></td></tr>

<tr><td><div>8</div></td><td><div>

Conclusion

</div></td></tr>",2223,,Evaluation will be based on the Final examination (60%) and class participation (40%). The main contents of class participation will be group presentation.,,Politics in Asia (E),,"<p>The purpose of this course is to prospect the future of the East Asia regional politics by acquiring the basic knowledge of politics in Asia.</p>
<p>Through this course, students will be able to understand Politics in Asia, like:</p>
<p>-Political Institutions</p>
<p>-Development and Government</p>
<p>-Process of Democratization</p>
<p>-Territorial Disputes</p>
<p>-Changing Balance of Power</p>
<p>-Prospect of Regional Integration</p>","<p>No textbooks.</p>
<p>Materials will be provided in the course.</p>",D Kang,,"This lecture will provide international students with the fundamental knowledge on and a basic understanding on politics in Asia. The course will start with a description of transformation of civilization and the beginning of modern politics in Northeast Asia, and then check the history and contemporary situation of domestic politics of Northeast Asian states, focusing on Japan, China and South Korea from the view point of comparative politics and those of international relations in this region.",Spring,905,There are no prerequisites.,,,,Wed 10:30-12:00,2,2,0,Courses
Given as we go.,cl11,Specialized Courses,"<tr><td><div>1</div></td><td><div>

Apr 11

13:00-14:30

Room 905

Law building

</div></td></tr>

<tr><td><div>2</div></td><td><div>

Apr 18

Room 905

</div></td></tr>

<tr><td><div>3</div></td><td><div>

Apr 25

Room 905

</div></td></tr>

<tr><td><div>4</div></td><td><div>

May 2

Room 905

</div></td></tr>

<tr><td><div>5</div></td><td><div>

May 9

Room 905

</div></td></tr>

<tr><td><div>6</div></td><td><div>

May 16

Room 905

</div></td></tr>

<tr><td><div>7</div></td><td><div>

May 23

Room 905

</div></td></tr>

<tr><td><div>8</div></td><td><div>

May 30

Room 905

</div></td></tr>

<tr><td><div>9</div></td><td><div>

June 13

Room 905

</div></td></tr>

<tr><td><div>10</div></td><td><div>

June 20

Room 905

</div></td></tr>

<tr><td><div>11</div></td><td><div>

June 27

Room 905

</div></td></tr>

<tr><td><div>12</div></td><td><div>

July 4

Room 905

</div></td></tr>

<tr><td><div>13</div></td><td><div>

July 11

Room 905

</div></td></tr>

<tr><td><div>14</div></td><td><div>

Jul 18

Room 905

</div></td></tr>",2224,,"<p>attendance and participation:  30%</p>
<p>short essays:  30%</p>
<p>oral presentation: 15%</p>
<p>final essay: 25%</p>",,Special Problems (How to Train the Legal Profession) (E),,"To enable the student to be aware of and to explain the many functions of modern law in society, especially its power to realize justice.",To be decided upon discussion with class.,Y Morigiwa,,"What is the most difficult aspect of setting up a legal system? Legislation, funding, or the provision of facilities? Each of these stages does have its own problems, but the training of personnel probably presents the greatest hurdle. Technical, legal and moral competence is required for those who man and run the legal system. How can legal education provide such qualities in its trainees? Discussion and interviews are conducted on this question following intensive reading of literature on the subject.",Spring,905,willingness to learn,,,,Fri 13:00-14:30,2,2,0,Courses
It is up to the students to generate their own reading lists for the course. the students are encouraged to work with their advisors and the program cordinator in selecting materials for the course,cl28,Specialized Courses,"<tr><td><div>1</div></td><td><div></div></td></tr>

<tr><td><div>2</div></td><td><div></div></td></tr>

<tr><td><div>3</div></td><td><div></div></td></tr>

<tr><td><div>4</div></td><td><div></div></td></tr>

<tr><td><div>5</div></td><td><div></div></td></tr>

<tr><td><div>6</div></td><td><div></div></td></tr>

<tr><td><div>7</div></td><td><div></div></td></tr>

<tr><td><div>8</div></td><td><div></div></td></tr>

<tr><td><div>9</div></td><td><div></div></td></tr>

<tr><td><div>10</div></td><td><div></div></td></tr>

<tr><td><div>11</div></td><td><div></div></td></tr>

<tr><td><div>12</div></td><td><div></div></td></tr>

<tr><td><div>13</div></td><td><div></div></td></tr>

<tr><td><div>14</div></td><td><div></div></td></tr>

<tr><td><div>15</div></td><td><div></div></td></tr>",2225,,"<p>「合・否」で判定する。演習の準備・参加態度・実施計画等を総合的に勘案して評価する。</p>
<p>Method of evaluating results:</p>
<p>The results will be judged to be either 'pass' or 'fail'. This will be judged on the basis of an overall consideration of the preparation for classes, the participatory attitude, report compilation and so on. Students performance is to be evaluated by the faculty advisor.</p>",,1344 Peer Support initiative �,,"<p>Aim: Students broaden their ability to consider comparisons between the Japanese legal and political systems and the systems of other countries and can explain the contents of such comparisons using foreign languages and respond to questions concerning such contents.</p>
<p>Course objectives: Upon completion of this class students will have a substantial research paper based on field studies. The students should be able to comparatively analyze the legal, political and cultural situations in Japan and their target country. The students will also get experience presenting their research to otheres in the final meeting of the course.</p>",The students should select or create their own reading material for this course The students are encouraged to work with their advisors and the program coordinator in selecting materials for the course.,Miura,,"The purpose of this final phase is to bring together the work in the prior two semesters and to conduct detailed field research. In this portion of the program, students will conduct field research in their target country, complete a report detailing their research, and present their reserach results. The field trip portion is not required for foreign students though they are encouraged to attend if possible. Foreign students are however responsible for working with their Japanese team members to organize the field research and cooperate in the final report and research presentation.",Spring,,"<p>Course Prerequisites:</p>
<p>Those who have acquired credits or who are attaining credits at the moment in Special Lecture (Comparative Law and Politics Seminars II)</p>",,,,,2,2,0,Courses
,cl7,Specialized Courses,"<tr><td><div>1</div></td><td><div>

Introduction

</div></td></tr>

<tr><td><div>2</div></td><td><div>

Introduction

</div></td></tr>

<tr><td><div>3</div></td><td><div>

Rawls 1

</div></td></tr>

<tr><td><div>4</div></td><td><div>

Rawls 2

</div></td></tr>

<tr><td><div>5</div></td><td><div>

Rousseau

</div></td></tr>

<tr><td><div>6</div></td><td><div>

Kant 1

</div></td></tr>

<tr><td><div>7</div></td><td><div>

Kant 2

</div></td></tr>

<tr><td><div>8</div></td><td><div>

Hegel

</div></td></tr>",2226,,"<p>Participation : 30%</p>
<p>Oral presentation: 30%</p>
<p>Final Essay: 40％</p>",,Special Problems (Political Theory of Law B) (E),,,"<p>John Rawls - Lectures on the History of Political Philosophy</p>
<p>John Rawls - Lectures on the History of Moral Philosophy</p>",Y Morigiwa,,"<p>This bi-weekly two semester course introduces the student to the world of legal and political theory, especially those of a liberal democracy.</p>
<p>Burning questions students have on political power and public order will be examined and the role of law therein will be explained. </p>
<p>To facilitate the inquiry, theories of law and state by Hobbes, Locke, Rousseau, Kant, Hegel and Marx, </p>
<p>as well as their contemporary counterparts developed by Hart, Dworkin, Raz and Rawls may be </p>
<p>discussed. The course will be taught in English, with summaries in Japanese as necessary. International </p>
<p>and Japanese students are welcome. The day and time of class is subject to change upon discussion with </p>
<p>the participants.</p>",Spring,905,,,,,Mon 16:30-18:00,1,2,0,Courses
"<p>Larry A.Dimatteo, International Contracting, Kluwer 2013</p>
<p>Jack Graves, The ABCs of the CISG, ABA,2013</p>
<p>Folsom, R.H.,International Business Transactions, 3rd ed. Thomas/West, 2012</p>
<p>John W.Head,Global Business Law,2nd ed., Carolina Academic Press, 2007</p>
<p>J.H.C. Morris, The Conflict of laws,7th ed., Sweet &amp; Maxwell, 2009</p>
<p>Additional reference will be announced during the class.</p>",cl10,Specialized Courses,"<tr><td><div>1</div></td><td><div>

Introduction

</div></td></tr>

<tr><td><div>2</div></td><td><div>

International Legal System influencing on International Business

</div></td></tr>

<tr><td><div>3</div></td><td><div>

International Sales of Goods [1]

</div></td></tr>

<tr><td><div>4</div></td><td><div>

International Sales of Goods [2]

</div></td></tr>

<tr><td><div>5</div></td><td><div>

International Sales of Goods [3]

</div></td></tr>

<tr><td><div>6</div></td><td><div>

Documentary Sales

</div></td></tr>

<tr><td><div>7</div></td><td><div>

Drafting International Contract

</div></td></tr>

<tr><td><div>8</div></td><td><div>

Transnational Licensing

</div></td></tr>

<tr><td><div>9</div></td><td><div>

Foreign Direct Investment [1]

</div></td></tr>

<tr><td><div>10</div></td><td><div>

Foreign Direct Investment [2]

</div></td></tr>

<tr><td><div>11</div></td><td><div>

Dispute Resolution [1]

</div></td></tr>

<tr><td><div>12</div></td><td><div>

Dispute Resolution [2]: Litigation

</div></td></tr>

<tr><td><div>13</div></td><td><div>

Dispute Resolution [3]: Arbitration

</div></td></tr>",2227,,Evaluation will be based on the final report on the topic which will be presented by the instructor in the latter of the course(70%) and class participation (30%).,,Special Problems (International Business Law) (E),,"<p>The purpose of this course is to acquire the basic legal knowledge of International Business Law. </p>
<p>Through this course, students will be able to understand: </p>
<p>-Risks of International Business </p>
<p>-The source of International Business Law</p>
<p>-International Legal Systems influencing on International Business</p>
<p>-International Sales of Goods, Documentary Sales, Incoterms</p>
<p>-CISG, UNIDRIOT Principles</p>
<p>-Drafting International Contracts</p>
<p>-Transnational Licensing</p>
<p>-Foreign Direct Investment(FDI):Joint Venture and M&amp;A</p>
<p>-International Dispute Resolution: Litigation vs. Arbitration</p>","<p>No textbooks.</p>
<p>Materials will be provided in the course.</p>",E Kim,,"This is an introductory course to International Business Law.　In this course, we will examine the specific legal issues and risks that frequently arise in conducting international business under the current international legal systems. Students will learn the source of international business law, international contracts on sales of goods, transfers of technology and licensing, and foreign direct investment such as joint venture and M&amp;A as well. Students will also obtain the basic knowledge about international dispute resolution mechanism through this course.",Spring,905,"There are no prerequisites, but students will be required to read all the materials provided prior to each class.",,,,Thu 10:30-12:00,2,2,0,Courses
,cl12,Specialized Courses,,2231,,"<p>Student presentations......40%</p>
<p>Student participation......30%</p>
<p>Short final essay..........30%</p>
<p>TOTAL......................100%</p>",,Seminar IB/IIB,,The class revolves around select readings in political economy for students to discuss. During the class students will have the opportunity to make short presentations based on the political economy readings. Students are encouraged to think critically about the political economy as a social science discipline. They are also encouraged to choose among different perspectives of political economy in terms of their contribution to our understanding of the modern world.,"<p>Readings on early political economists like Adam Smith, David Ricardo and Karl Marx will be drawn from various online sources.</p>
<p>See in particular: http://www.econlib.org/index.html</p>",R Westra,,"This class introduces students to the foundational ideas of political economy. Students will learn that many of the original thinkers of the bourgeois liberal tradition were not only political thinkers but political economists who saw their arguments about things like freedom and government as intimately linked to questions of political economy such as property rights, workings of the market, rights to the fruits of ones labor and what the ultimate source of social wealth is.",Spring,407,,,,,Fri 16:30-18:00,2,2&amp;3,0,Courses
,cl20,Specialized Courses,"<tr><td><div>1</div></td><td><div>

Introduction

</div></td></tr>

<tr><td><div>2</div></td><td><div>

Formation

</div></td></tr>

<tr><td><div>3</div></td><td><div></div></td></tr>

<tr><td><div>4</div></td><td><div></div></td></tr>

<tr><td><div>5</div></td><td><div></div></td></tr>

<tr><td><div>6</div></td><td><div>

Mid-term

</div></td></tr>

<tr><td><div>7</div></td><td><div></div></td></tr>

<tr><td><div>8</div></td><td><div></div></td></tr>

<tr><td><div>9</div></td><td><div></div></td></tr>

<tr><td><div>10</div></td><td><div></div></td></tr>

<tr><td><div>11</div></td><td><div></div></td></tr>

<tr><td><div>12</div></td><td><div></div></td></tr>

<tr><td><div>13</div></td><td><div></div></td></tr>

<tr><td><div>14</div></td><td><div></div></td></tr>

<tr><td><div>15</div></td><td><div></div></td></tr>",2232,,,2014-04-11,Seminar IB/IIB,,"At the end of the course, students will have a systematic knowledge of black-letter contract law, and be equipped to identify the legal rights and obligations arising in the course of a transaction.","<p>The standard textbook for the course will be Verkerke, Contract Doctrine: Theory and Practice:</p>
<p>http://elangdell.cali.org/content/contract-doctrine-theory-practice-volume-1</p>",F Bennett,,The subject of this seminar will be contract law.,Spring,IRB 310,,,,,Fri 16:30-18:00,2,2&amp;3,0,Courses
There is no Official Text Book. I will hand out some materials.,cl29,Specialized Courses,"<tr><td><div>1</div></td><td><div></div></td></tr>

<tr><td><div>2</div></td><td><div></div></td></tr>

<tr><td><div>3</div></td><td><div></div></td></tr>

<tr><td><div>4</div></td><td><div></div></td></tr>

<tr><td><div>5</div></td><td><div></div></td></tr>

<tr><td><div>6</div></td><td><div></div></td></tr>

<tr><td><div>7</div></td><td><div></div></td></tr>

<tr><td><div>8</div></td><td><div></div></td></tr>",2341,,"<p>1: attendance and participation of discussion(40%)</p>
<p>2: Reports and presentations(50%)</p>
<p>3: other assignment(10%)</p>",,Comparative Constitution,,"<p>Through of this course, you will able to</p>
<p>1) acquire the basic knowledge of the history and grand theory of modern Constitution;</p>
<p>2) acquire the basic knowledge of Constitutional system in Japan and some developed countries; and</p>
<p>3) discuss on Constitutional law and issues in selected Asian countries.</p>",There is no Official Text Book. I will hand out some materials.,Ohkohchi,,"The purpose of this course is to review the fundamentals of constitutional theory, and examine how the theoretical application of Japanese constitutional law to various constitution-related issues compares to that of students' home countries, while reviewing constitutional theory and its various manifestations in Asian and other countries. Students will learn about the history and fundamental principles of modern constitutions, gain a fundamental understanding of the constitutions of Japan and modern constitutional countries in Western Europe, and review the constitutions of various countries, particularly in Asia. These subjects will be further explored in class discussions in which students will proactively debate various related issues.",Spring,408,N/A,,,,Mon 13:00-16:15,4,3&amp;4,0,Courses
"<p>A tentative list of the class materials (journal articles available online) for the first part, flexible depending on students' interests and current affairs, includes the following:</p>
<ul>
<li>
<p>Acharya, Amitav. ""Power Shift or Paradigm Shift? China's Rise and Asia's Emerging Security Order."" International Studies Quarterly (forthcoming).</p>
</li>
<li>
<p>Chan, Steve. ""An Odd Thing Happened on the Way to Balancing: East Asian States' Reactions to China's Rise."" International Studies Review 12 (2010): 387-412.</p>
</li>
<li>
<p>Christensen, Thomas F. ""Advantages of an Assertive China: Responding to Beijing's Abrasive Diplomacy."" Foreign Affairs 90 (2011): 54-67.</p>
</li>
<li>
<p>Haggard, Stephan. ""Liberal Pessimism: International Relations Theory and the Emerging Powers."" Asia &amp; the Pacific Policy Studies 1 (2014): 1-17.</p>
</li>
<li>
<p>Hagström, Linus. ""'Power Shift' in East Asia? A Critical Reappraisal of Narratives on the Diaoyu/Senkaku Islands Incident in 2010."" The Chinese Journal of International Politics 5 (2012): 267-297.</p>
</li>
<li>
<p>Hopf, Ted. ""Common-sense Constructivism and Hegemony in World Politics."" International Organization 67 (2013): 317-354.</p>
</li>
<li>
<p>Johnston, Alastair Iain. ""What (If Anything) Does East Asia Tell Us about International Relations Theory?"" Annual Review of Political Science 15 (2012): 53-78.</p>
</li>
<li>
<p>Johnston, Alastair Iain. ""How New and Assertive Is China's New Assertiveness?"" International Security 37 (2013): 7-48.</p>
</li>
<li>
<p>Larson, Deborah Welch, and Alexei Shevchenko. ""Status Seekers: Chinese and Russian Responses to U.S. Primacy."" International Security 34 (2010): 63-95.</p>
</li>
<li>
<p>Nathan, Andrew J., and Andrew Scobell. ""How China Sees America: The Sum of Beijing's Fears."" Foreign Affairs 91 (2012): 32-47.</p>
</li>
</ul>",cl23,Specialized Courses,"<tr><td><div>1</div></td><td><div>

International Relations in East Asia and the Pacific

</div></td></tr>

<tr><td><div>2</div></td><td><div>

Global Governance of Sustainable Development.

</div></td></tr>",2342,,"<p>Mid-term paper: 30%</p>
<p>Final paper: 30%</p>
<p>Participation: 40%</p>",,International Politics,"Lecture (interactive, based on discussions)","This course has three objectives: (1) cultivate your interests in current international and global affairs; (2) familiarize you with various approaches to international relations and global governance; and (3) develop your skills in critical, analytical, synthetic, and abductive (i.e., developing hypotheses by going back and forth between the concrete and the abstract) thinking.",None.,S Miura,Yes,"<p>This course serves as an introduction to International Relations Theory. It is, however, based more on discussions and presentations by students than on lectures by the instructor. As theories are valuable only insofar as they help us understand and explain concrete events and phenomena, strong emphasis is placed on applying them to current international and global affairs.</p>
<p>The first part of the course will deal with international (inter-state) relations in East Asia and the Pacific whereas the second will focus on global governance (wherein states or governments are regarded as either primus inter pares or merely one kind of actors) of sustainable development.</p>
<p>Students are expected to read reading materials (one or two academic or policy-oriented article(s) per week), create a concise (one- or two-pager) summary and questions for each material, and participate in class discussion.</p>",Spring,905,None.,,,,Tue 14:45-16:15,2,3&amp;4,0,Courses
,cl34,Specialized Courses,,2343,,"「合・否」で判定する。演習の準備・参加態度・実施計画等を総合的に勘案して評価する。</p>
<ol>
<li>Method of evaluating results: The results will be judged to be either 'pass' or 'fail'. This will be judged on the basis of an overall consideration of the preparation for classes, the participatory attitude, report compilation and so on.</li>
<",,Peer Support initiative �,,"<p>外国の法制度・政治制度について、外国語を用いて、また、日本の法制度・政治制度との比較を通じて理解を深めるとともに、外国語で意思疎通をする力を養う。</p>
<p>Course objectives: To deepen students' understanding of the Japanese legal and political system through a comparison with the legal and political system of other countries and to enable students to explain and to communicate in a foreign language.</p>",,Miura,,"<p>比較法政実習２について / About PSI-2</p>
<p>留学生の母国の法と政治に重点をおきながら、相互理解を深めることに重点が置かれます。日本人学生は、留学生の母国の法と政治の特徴をよりよく浮かび上がらせるため随時、日本についての情報を提供します。</p>
<p>本実習２では、留学生は可能な範囲で、日本語で自国の法と社会を説明し、日本人学生は現地語で同様の説明をする機会を増やしていきます。</p>
<p>それぞれの説明資料の作成は、相互支援の形で行います。テレビ会議システム、多言語対応のグループ掲示板などを活用して、課外活動として専門に限られない協力学習を推進します。テレビ会議システムは、肩のこらない会話訓練にも有効です。　数人単位の小グループなどにより、裁判所やその他の日本の司法関連機関などの訪問調査などを奨励して、日本人学生の現地研修のための資料収集が自主的に進むよう支援します。</p>
<p>PSI-2 prioritizes the law and politics of the international students' home country, with the aim of deepening the mutual understanding of the participants' countries. So that the characteristics of the international students' home countries' legal and political systems can be highlighted better, the Japanese students shall, when needed, provide information on Japan.</p>
<p>As far as possible, the international students will explain the law and society of their own country in Japanese. Opportunities for Japanese students to give the same explanation in the languages of the international students will be increased.</p>
<p>Documents for these explanations will be created by the Japanese and international students in cooperation with each other. Video conferencing, multilingual group bulletin boards and so on will be actively used and collaborative learning will progress in a variety of fields, not just the students' specializations. The video conferencing system will be useful training for engaging in informal chatting. Small group trips to investigate the courts and other judicial institutions in Japan will be encouraged and students will be helped to gather independently materials for Japanese students' research of these places.</p>",Spring,,"<p>受講資格：特殊講義（比較法政演習Ｉ）を受講したもの</p>
<p>Course Prerequisites: Those who have acquired credits or who are attaining credits at the moment in Special Lecture (Comparative Law and Politics Seminars II)</p>",,,,,2.0,3&amp;4,0,Courses
"In addition to the materials mentioned under ""Textbooks"" above, other handouts and reading materials will be will be distributed to students via the online syllabus system. A preliminary list will be distributed on April 16 (first class).",cl33,Specialized Courses,"<tr><td><div>1</div></td><td><div>

1.       Introduction to the seminar (16 April, 2014)

</div></td></tr>

<tr><td><div>2</div></td><td><div>

2.       What is International Commercial Arbitration? (23 April, 2014)

</div></td></tr>

<tr><td><div>3</div></td><td><div>

3.       Types of Arbitration (7 May, 2014)

</div></td></tr>

<tr><td><div>4</div></td><td><div>

4.       Arbitration Agreements (14 May, 2014)

</div></td></tr>

<tr><td><div>5</div></td><td><div>

5.       Applicable laws (21 May, 2014)

</div></td></tr>

<tr><td><div>6</div></td><td><div>

6.       The Arbitration Tribunal and the Arbitrator  (28 May 2014)

</div></td></tr>

<tr><td><div>7</div></td><td><div>

Individual presentations by students/group presentations (4 June 2014)

</div></td></tr>

<tr><td><div>8</div></td><td><div>

8.       Independence, Neutrality and Impartiality  (11 June 2014)

</div></td></tr>

<tr><td><div>9</div></td><td><div>

9.       The procedure (18 June 2013)

</div></td></tr>

<tr><td><div>10</div></td><td><div>

10.     Arbitration and the Courts (25 June 2013)

</div></td></tr>

<tr><td><div>11</div></td><td><div>

11.     The Award (2 July 2014)

</div></td></tr>

<tr><td><div>12</div></td><td><div>

12.     Enforcing and Challenging an Arbitral Award (9 July 2014)

</div></td></tr>

<tr><td><div>13</div></td><td><div>

Individual presentations by students/group presentations (16 July 2014)

</div></td></tr>",2344,,"Participation (quality of the preparation, contribution to the discussion) 50%. Individual presentation (50%).",,Special Problems (Introduction to International Commercial Arbitration),Lecture,"The aim of the seminar is to provide students with effective knowledge of international commercial arbitration. First, a general overview of the subject will be presented, in order to allow everybody to have a common frame of reference. Then, each single phase of the procedure will be analyzed in detail, from the arbitration agreement to the recognition and enforcement of the award. To better understand the interaction between theoretical and normative framework and practical problems, students will have to read and comment also on materials taken from actual cases. After the end of the seminar, students should have acquired a good knowledge of, inter alia, the UNICTRAL Model Law, the New York Convention and the main problems and issues which are currently debated among arbitration scholars and practitioners.","due to the peculiar nature of the seminar, there is no need of a general textbook for students. Lessons will be based on specifically created Power Point presentations. Also, copies of some relevant readings will be distributed to students on a regular basis, via the online syllabus system. However, as a support textbook, students may want to use N. Blackaby, C. Partasides (with Alan Redfern and Martin Hunter), Redfern and Hunter on International Arbitration - Student version, Oxford, Oxford University Press, 5th edition, 2009.",Yokomizo/Colombo,,"International commercial arbitration is becoming more and more important in the field of cross-border disputed resolution. While most advanced nations already are already familiar with arbitration, there is a growing demand of expertise in this field from recent developing countries. The regulatory framework in the world is moving towards a ""globalized"" arbitration: there is widespread acceptance of international models as base for legislation (e.g. the UNCITRAL Model Law on International Commercial Arbitration) and the circulation of awards is made smoother by effective international instruments (e.g. the 1958 New York Convention of the recognition and enforcement of foreign arbitral awards), However, many countries are lagging back in term of effective appliance of those international tools: national resistances (both legislative, judicial and political) and the lack of arbitration theoretical and practical expertise among legislators, judges and professional operators is jeopardizing an effective and homogeneous success of arbitration all over the world. One tool to subvert this situation is trying to provide law students with a strong basis of notions in this field. This seminar focuses on both theoretical and practical issues in arbitration, covering a wide spectrum of subjects in order to provide a comprehensive picture of what international arbitration is.",Fall,TBA,"Good command of English language (reading, speaking, and writing) is required. A basic knowledge of private international law and civil procedure is recommended.",,,,Wed 10:30-12:00,2,3&amp;4,0,Courses
